Name,ID,Resid,int IParticleId,Headresid,palette,nLevel,type,camp,exp,expcoefficient,prizeholdstrategy,Speed_B,attackspeed,hp,mp,Close_A,Powder_A,Magic_A,Builder_A,Close_D,Powder_D,Magic_D,Builder_D_B,Base_D,Ω¸’Ω±©ª˜¬ ,ª“©±©ª˜¬ ,ƒß∑®±©ª˜¬ ,π•≥«±©ª˜¬ ,Ω¸’Ω±©ª˜µ»º∂,ª“©±©ª˜µ»º∂,ƒß∑®±©ª˜µ»º∂,π•≥«±©ª˜µ»º∂,Dead_Def,±©ª˜…À∫¶º”≥…¬ ,hit,dodge,Aiid,nBeAttackRadius ,nWinPoint,nWinMorale,nWinMoney,nGetExploit,EXPLOIT,nGetMoney,CanTalk,nCanntDie,lTalkResId,lBuildRadius,int nBornMsgType;,int nDieMsgType;,isBOSS,nNoOccupant,nUpShowResID,FissionMonster,int nShowName,ShowLevel,nOpenSoundID,nCloseSoundID,CanntSelected
,812069,,,444,,69,4,2,,,5,360,1000,21708,,,689,,,,,,,,,,,,,,,,161,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812070,,,444,,70,4,2,,,5,360,1000,22275,,,706,,,,,,,,,,,,,,,,161,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812071,,,444,,71,4,2,,,5,360,1000,24094,,,724,,,,,,,,,,,,,,,,194,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812072,,,444,,72,4,2,,,5,360,1000,24675,,,741,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812073,,,444,,73,4,2,,,5,360,1000,25274,,,758,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812074,,,444,,74,4,2,,,5,360,1000,25855,,,776,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812075,,,444,,75,4,2,,,5,360,1000,26454,,,793,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812076,,,444,,76,4,2,,,5,360,1000,28458,,,807,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812077,,,444,,77,4,2,,,5,360,1000,30096,,,842,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812078,,,444,,78,4,2,,,5,360,1000,31698,,,877,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812079,,,444,,79,4,2,,,5,360,1000,33318,,,912,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812080,,,444,,80,4,2,,,5,360,1000,34956,,,948,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812081,,,444,,81,4,2,,,5,360,1000,38386,,,983,,,,,,,,,,,,,,,,178,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812082,,,444,,82,4,2,,,5,360,1000,40106,,,1018,,,,,,,,,,,,,,,,178,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812083,,,444,,83,4,2,,,5,360,1000,41788,,,1053,,,,,,,,,,,,,,,,178,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812084,,,444,,84,4,2,,,5,360,1000,43489,,,1089,,,,,,,,,,,,,,,,192,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,812085,,,444,,85,4,2,,,5,360,1000,45190,,,1123,,,,,,,,,,,,,,,,272,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813001,,,444,,1,5,2,,,5,320,1000,140,,,1,,,,0,,,0,,,,,,,,,70,,1000,,2155,0,,,,1,3,,,,,,,,,,,,1,1,,,
,813002,,,444,,2,5,2,,,5,320,1000,225,,,2,,,,0,,,0,,,,,,,,,70,,1000,,2155,0,,,,2,6,,,,,,,,,,,,1,1,,,
,813003,,,444,,3,5,2,,,5,320,1000,309,,,4,,,,0,,,0,,,,,,,,,70,,1000,,2155,0,,,,3,9,,,,,,,,,,,,1,1,,,
,813004,,,444,,4,5,2,,,5,320,1000,394,,,6,,,,0,,,0,,,,,,,,,97,,1000,,2155,0,,,,4,12,,,,,,,,,,,,1,1,,,
,813005,,,444,,5,5,2,,,5,320,1000,479,,,9,,,,0,,,0,,,,,,,,,97,,1000,,2155,0,,,,5,15,,,,,,,,,,,,1,1,,,
,813006,,,444,,6,5,2,,,5,320,1000,564,,,14,,,,0,,,0,,,,,,,,,150,,1000,,2155,0,,,,6,18,,,,,,,,,,,,1,1,,,
,813007,,,444,,7,5,2,,,5,320,1000,648,,,18,,,,0,,,0,,,,,,,,,150,,1000,,2155,0,,,,7,21,,,,,,,,,,,,1,1,,,
,813008,,,444,,8,5,2,,,5,320,1000,733,,,23,,,,0,,,0,,,,,,,,,150,,1000,,2155,0,,,,8,24,,,,,,,,,,,,1,1,,,
,813009,,,444,,9,5,2,,,5,320,1000,818,,,29,,,,0,,,0,,,,,,,,,150,,1000,,2155,0,,,,9,27,,,,,,,,,,,,1,1,,,
,813010,,,444,,10,5,2,,,5,320,1000,902,,,36,,,,0,,,0,,,,,,,,,176,,1000,,2155,0,,,,10,30,,,,,,,,,,,,1,1,,,
,813011,,,444,,11,4,2,,,5,360,1000,1269,,,45,,,,0,,,0,,,,,,,,,110,,1000,,2156,0,,,,12,36,,,,,,,,,,,,1,1,,,
,813012,,,444,,12,4,2,,,5,360,1000,1377.9,,,56,,,,0,,,0,,,,,,,,,110,,1000,,2156,0,,,,14,42,,,,,,,,,,,,1,1,,,
,813013,,,444,,13,4,2,,,5,360,1000,1486.8,,,64,,,,0,,,0,,,,,,,,,110,,1000,,2156,0,,,,16,48,,,,,,,,,,,,1,1,,,
,813014,,,444,,14,4,2,,,5,360,1000,1595.7,,,73,,,,0,,,0,,,,,,,,,120,,1000,,2156,0,,,,18,54,,,,,,,,,,,,1,1,,,
,813015,,,444,,15,4,2,,,5,360,1000,1704.6,,,84,,,,0,,,0,,,,,,,,,120,,1000,,2156,0,,,,20,60,,,,,,,,,,,,1,1,,,
,813016,,,444,,16,4,2,,,5,360,1000,1813.5,,,95,,,,0,,,5,,,,,,,,,147,,1000,,2156,0,,,,22,66,,,,,,,,,,,,1,1,,,
,813017,,,444,,17,4,2,,,5,360,1000,1922.4,,,105,,,,0,,,6,,,,,,,,,167,,1000,,2156,0,,,,24,72,,,,,,,,,,,,1,1,,,
,813018,,,444,,18,4,2,,,5,360,1000,2031.3,,,115,,,,0,,,7,,,,,,,,,167,,1000,,2156,0,,,,26,78,,,,,,,,,,,,1,1,,,
,813019,,,444,,19,4,2,,,5,360,1000,2140.2,,,125,,,,0,,,10,,,,,,,,,167,,1000,,2156,0,,,,28,84,,,,,,,,,,,,1,1,,,
,813020,,,444,,20,4,2,,,5,360,1000,2249.1,,,135,,,,0,,,15,,,,,,,,,167,,1000,,2156,0,,,,30,90,,,,,,,,,,,,1,1,,,
,813021,,,444,,21,4,2,,,5,360,1000,2358,,,145,,,,0,,,17,,,,,,,,,177,,1000,,2156,0,,,,33,99,,,,,,,,,,,,1,1,,,
øÛæÆ«π ÷,813022,11942,,444,,22,4,2,,,5,360,1000,2466.9,,,157,,,,0,,,21,,,,,,,,,177,,1000,,2156,0,,,,36,108,,,,,,,,,,,,1,1,,,
,813023,,,444,,23,4,2,,,5,360,1000,2575.8,,,168,,,,0,,,23,,,,,,,,,177,,1000,,2156,0,,,,39,117,,,,,,,,,,,,1,1,,,
,813024,,,444,,24,4,2,,,5,360,1000,2684.7,,,179,,,,0,,,30,,,,,,,,,177,,1000,,2156,0,,,,42,126,,,,,,,,,,,,1,1,,,
,813025,,,444,,25,4,2,,,5,360,1000,3041,,,195,,,,0,,,39,,,,,,,,,177,,1000,,2156,0,,,,45,135,,,,,,,,,,,,1,1,,,
,813026,,,444,,26,4,2,,,5,360,1000,3063,,,205,,,,0,,,45,,,,,,,,,118,,1000,,2157,0,,,,66,198,,,,,,,,,,,,1,1,,,
,813027,,,444,,27,4,2,,,5,360,1000,3137,,,215,,,,0,,,56,,,,,,,,,118,,1000,,2157,0,,,,71,212,,,,,,,,,,,,1,1,,,
,813028,,,444,,28,4,2,,,5,360,1000,3212,,,226,,,,0,,,64,,,,,,,,,118,,1000,,2157,0,,,,75,225,,,,,,,,,,,,1,1,,,
,813029,,,444,,29,4,2,,,5,360,1000,3286,,,237,,,,0,,,73,,,,,,,,,128,,1000,,2157,0,,,,80,238,,,,,,,,,,,,1,1,,,
,813030,,,444,,30,4,2,,,5,360,1000,3300,,,249,,,,0,,,84,,,,,,,,,128,,1000,,2157,0,,,,84,251,,,,,,,,,,,,1,1,,,
,813031,,,444,,31,4,2,,,5,360,1000,3321,,,261,,,,0,,,95,,,,,,,,,154,,1000,,2157,0,,,,96,288,,,,,,,,,,,,1,1,,,
,813032,,,444,,32,4,2,,,5,360,1000,3420,,,275,,,,0,,,105,,,,,,,,,174,,1000,,2157,0,,,,101,303,,,,,,,,,,,,1,1,,,
,813033,,,444,,33,4,2,,,5,360,1000,3528,,,286,,,,0,,,115,,,,,,,,,174,,1000,,2157,0,,,,106,317,,,,,,,,,,,,1,1,,,
,813034,,,444,,34,4,2,,,5,360,1000,3645,,,297,,,,0,,,125,,,,,,,,,174,,1000,,2157,0,,,,111,332,,,,,,,,,,,,1,1,,,
,813035,,,444,,35,4,2,,,5,360,1000,3780,,,374,,,,0,,,162,,,,,,,,,174,,1000,,2157,0,,,,116,346,,,,,,,,,,,,1,1,,,
,813036,,,444,,36,4,2,,,5,360,1000,3888,,,388,,,,0,,,174,,,,,,,,,184,,1000,,2157,0,,,,141,422,,,,,,,,,,,,1,1,,,
,813037,,,444,,37,4,2,,,5,360,1000,4032,,,402,,,,0,,,188,,,,,,,,,184,,1000,,2157,0,,,,147,441,,,,,,,,,,,,1,1,,,
,813038,,,444,,38,4,2,,,5,360,1000,4158,,,415,,,,0,,,202,,,,,,,,,184,,1000,,2157,0,,,,154,461,,,,,,,,,,,,1,1,,,
,813039,,,444,,39,4,2,,,5,360,1000,4302,,,430,,,,0,,,215,,,,,,,,,184,,1000,,2157,0,,,,160,480,,,,,,,,,,,,1,1,,,
,813040,,,444,,40,4,2,,,5,360,1000,4410,,,444,,,,0,,,234,,,,,,,,,184,,1000,,2157,0,,,,167,500,,,,,,,,,,,,1,1,,,
,813041,,,444,,41,4,2,,,5,360,1000,4620.6,,,458,,,,55,,,246,,,,,,,,,184,,1000,,2158,0,,,,186,558,,,,,,,,,,,,1,1,,,
,813042,,,444,,42,4,2,,,5,360,1000,4878.9,,,472,,,,56,,,258,,,,,,,,,184,,1000,,2158,0,,,,194,582,,,,,,,,,,,,1,1,,,
,813043,,,444,,43,4,2,,,5,360,1000,5161.5,,,482,,,,57,,,271,,,,,,,,,184,,1000,,2158,0,,,,202,605,,,,,,,,,,,,1,1,,,
,813044,,,444,,44,4,2,,,5,360,1000,5467.5,,,494,,,,59,,,284,,,,,,,,,184,,1000,,2158,0,,,,210,628,,,,,,,,,,,,1,1,,,
,813045,,,444,,45,4,2,,,5,360,1000,5805,,,510,,,,62,,,299,,,,,,,,,184,,1000,,2158,0,,,,234,702,,,,,,,,,,,,1,1,,,
,813046,,,444,,46,4,2,,,5,360,1000,6165,,,523,,,,65,,,313,,,,,,,,,184,,1000,,2158,0,,,,243,727,,,,,,,,,,,,1,1,,,
,813047,,,444,,47,4,2,,,5,360,1000,6580.8,,,540,,,,69,,,330,,,,,,,,,184,,1000,,2158,0,,,,251,752,,,,,,,,,,,,1,1,,,
,813048,,,444,,48,4,2,,,5,360,1000,6899.4,,,554,,,,76,,,343,,,,,,,,,184,,1000,,2158,0,,,,259,777,,,,,,,,,,,,1,1,,,
,813049,,,444,,49,4,2,,,5,360,1000,7209,,,574,,,,83,,,356,,,,,,,,,184,,1000,,2158,0,,,,268,803,,,,,,,,,,,,1,1,,,
,813050,,,444,,50,4,2,,,5,360,1000,7515.9,,,588,,,,90,,,374,,,,,,,,,184,,1000,,2158,0,,,,276,828,,,,,,,,,,,,1,1,,,
,813051,,,444,,51,4,2,,,5,360,1000,7799.4,,,602,,,,95,,,388,,,,,,,,,130,,1000,,2158,0,,,,296,887,,,,,,,,,,,,1,1,,,
,813052,,,444,,52,4,2,,,5,360,1000,8100.9,,,626,,,,100,,,402,,,,,,,,,130,,1000,,2158,0,,,,296,887,,,,,,,,,,,,1,1,,,
,813053,,,444,,53,4,2,,,5,360,1000,8464.5,,,649,,,,101,,,415,,,,,,,,,130,,1000,,2158,0,,,,296,887,,,,,,,,,,,,1,1,,,
,813054,,,444,,54,4,2,,,5,360,1000,8830.8,,,676,,,,101,,,430,,,,,,,,,141,,1000,,2158,0,,,,296,887,,,,,,,,,,,,1,1,,,
,813055,,,444,,55,4,2,,,5,360,1000,9269.1,,,700,,,,102,,,444,,,,,,,,,141,,1000,,2158,0,,,,316,946,,,,,,,,,,,,1,1,,,
,813056,,,444,,56,4,2,,,5,360,1000,12762,,,690,,,,,,,,,,,,,,,,169,,1000,,0,0,,,,338,1014,,,,,,,,,,,,1,1,,,
,813057,,,444,,57,4,2,,,5,360,1000,13018,,,702,,,,,,,,,,,,,,,,190,,1000,,0,0,,,,349,1045,,,,,,,,,,,,1,1,,,
,813058,,,444,,58,4,2,,,5,360,1000,13274,,,713,,,,,,,,,,,,,,,,190,,1000,,0,0,,,,359,1076,,,,,,,,,,,,1,1,,,
,813059,,,444,,59,4,2,,,5,360,1000,13530,,,724,,,,,,,,,,,,,,,,190,,1000,,0,0,,,,369,1106,,,,,,,,,,,,1,1,,,
,813060,,,444,,60,4,2,,,5,360,1000,13786,,,736,,,,,,,,,,,,,,,,190,,1000,,0,0,,,,403,1208,,,,,,,,,,,,1,1,,,
,813061,,,444,,61,4,2,,,5,360,1000,14933,,,734,,,,,,,,,,,,,,,,200,,1000,,0,0,,,,414,1241,,,,,,,,,,,,1,1,,,
,813062,,,444,,62,4,2,,,5,360,1000,15436,,,757,,,,,,,,,,,,,,,,200,,1000,,0,0,,,,425,1273,,,,,,,,,,,,1,1,,,
,813063,,,444,,63,4,2,,,5,360,1000,15912,,,780,,,,,,,,,,,,,,,,200,,1000,,0,0,,,,436,1306,,,,,,,,,,,,1,1,,,
,813064,,,444,,64,4,2,,,5,360,1000,16388,,,803,,,,,,,,,,,,,,,,200,,1000,,0,0,,,,447,1339,,,,,,,,,,,,1,1,,,
,813065,,,444,,65,4,2,,,5,360,1000,16878,,,826,,,,,,,,,,,,,,,,200,,1000,,0,0,,,,457,1371,,,,,,,,,,,,1,1,,,
,813066,,,444,,66,4,2,,,5,360,1000,18374,,,850,,,,,,,,,,,,,,,,148,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813067,,,444,,67,4,2,,,5,360,1000,18893,,,873,,,,,,,,,,,,,,,,148,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813068,,,444,,68,4,2,,,5,360,1000,19411,,,896,,,,,,,,,,,,,,,,148,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813069,,,444,,69,4,2,,,5,360,1000,19930,,,919,,,,,,,,,,,,,,,,161,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813070,,,444,,70,4,2,,,5,360,1000,20434,,,942,,,,,,,,,,,,,,,,161,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813071,,,444,,71,4,2,,,5,360,1000,22116,,,965,,,,,,,,,,,,,,,,194,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813072,,,444,,72,4,2,,,5,360,1000,22648,,,988,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813073,,,444,,73,4,2,,,5,360,1000,23180,,,1011,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813074,,,444,,74,4,2,,,5,360,1000,23742,,,1034,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813075,,,444,,75,4,2,,,5,360,1000,24259,,,1057,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813076,,,444,,76,4,2,,,5,360,1000,26128,,,1076,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813077,,,444,,77,4,2,,,5,360,1000,27600,,,1123,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813078,,,444,,78,4,2,,,5,360,1000,29088,,,1170,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813079,,,444,,79,4,2,,,5,360,1000,30576,,,1217,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813080,,,444,,80,4,2,,,5,360,1000,32064,,,1264,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813081,,,444,,81,4,2,,,5,360,1000,35213,,,1311,,,,,,,,,,,,,,,,178,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813082,,,444,,82,4,2,,,5,360,1000,36792,,,1358,,,,,,,,,,,,,,,,178,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813083,,,444,,83,4,2,,,5,360,1000,38354,,,1405,,,,,,,,,,,,,,,,178,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813084,,,444,,84,4,2,,,5,360,1000,39900,,,1452,,,,,,,,,,,,,,,,192,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,813085,,,444,,85,4,2,,,5,360,1000,41462,,,1497,,,,,,,,,,,,,,,,272,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,814001,,,444,,1,5,2,,,5,320,900,140,,,1,,,,0,,,0,,,,,,,,,70,,1000,,2155,0,,,,1,3,,,,,,,,,,,,1,1,,,
,814002,,,444,,2,5,2,,,5,320,900,225,,,2,,,,0,,,0,,,,,,,,,70,,1000,,2155,0,,,,2,6,,,,,,,,,,,,1,1,,,
,814003,,,444,,3,5,2,,,5,320,900,309,,,4,,,,0,,,0,,,,,,,,,70,,1000,,2155,0,,,,3,9,,,,,,,,,,,,1,1,,,
,814004,,,444,,4,5,2,,,5,320,900,394,,,6,,,,0,,,0,,,,,,,,,97,,1000,,2155,0,,,,4,12,,,,,,,,,,,,1,1,,,
,814005,,,444,,5,5,2,,,5,320,900,479,,,9,,,,0,,,0,,,,,,,,,97,,1000,,2155,0,,,,5,15,,,,,,,,,,,,1,1,,,
,814006,,,444,,6,5,2,,,5,320,900,564,,,14,,,,0,,,0,,,,,,,,,150,,1000,,2155,0,,,,6,18,,,,,,,,,,,,1,1,,,
,814007,,,444,,7,5,2,,,5,320,900,648,,,18,,,,0,,,0,,,,,,,,,150,,1000,,2155,0,,,,7,21,,,,,,,,,,,,1,1,,,
,814008,,,444,,8,5,2,,,5,320,900,733,,,23,,,,0,,,0,,,,,,,,,150,,1000,,2155,0,,,,8,24,,,,,,,,,,,,1,1,,,
,814009,,,444,,9,5,2,,,5,320,900,818,,,29,,,,0,,,0,,,,,,,,,150,,1000,,2155,0,,,,9,27,,,,,,,,,,,,1,1,,,
,814010,,,444,,10,5,2,,,5,320,900,902,,,36,,,,0,,,0,,,,,,,,,176,,1000,,2155,0,,,,10,30,,,,,,,,,,,,1,1,,,
,814011,,,444,,11,4,2,,,5,360,900,1269,,,45,,,,0,,,0,,,,,,,,,110,,1000,,2156,0,,,,12,36,,,,,,,,,,,,1,1,,,
,814012,,,444,,12,4,2,,,5,360,900,1377.9,,,56,,,,0,,,0,,,,,,,,,110,,1000,,2156,0,,,,14,42,,,,,,,,,,,,1,1,,,
,814013,,,444,,13,4,2,,,5,360,900,1486.8,,,64,,,,0,,,0,,,,,,,,,110,,1000,,2156,0,,,,16,48,,,,,,,,,,,,1,1,,,
,814014,,,444,,14,4,2,,,5,360,900,1595.7,,,73,,,,0,,,0,,,,,,,,,120,,1000,,2156,0,,,,18,54,,,,,,,,,,,,1,1,,,
,814015,,,444,,15,4,2,,,5,360,900,1704.6,,,84,,,,0,,,0,,,,,,,,,120,,1000,,2156,0,,,,20,60,,,,,,,,,,,,1,1,,,
,814016,,,444,,16,4,2,,,5,360,900,1813.5,,,95,,,,0,,,5,,,,,,,,,147,,1000,,2156,0,,,,22,66,,,,,,,,,,,,1,1,,,
,814017,,,444,,17,4,2,,,5,360,900,1922.4,,,105,,,,0,,,6,,,,,,,,,167,,1000,,2156,0,,,,24,72,,,,,,,,,,,,1,1,,,
,814018,,,444,,18,4,2,,,5,360,900,2031.3,,,115,,,,0,,,7,,,,,,,,,167,,1000,,2156,0,,,,26,78,,,,,,,,,,,,1,1,,,
,814019,,,444,,19,4,2,,,5,360,900,2140.2,,,125,,,,0,,,10,,,,,,,,,167,,1000,,2156,0,,,,28,84,,,,,,,,,,,,1,1,,,
,814020,,,444,,20,4,2,,,5,360,900,2249.1,,,135,,,,0,,,15,,,,,,,,,167,,1000,,2156,0,,,,30,90,,,,,,,,,,,,1,1,,,
,814021,,,444,,21,4,2,,,5,360,900,2358,,,145,,,,0,,,17,,,,,,,,,177,,1000,,2156,0,,,,33,99,,,,,,,,,,,,1,1,,,
,814022,,,444,,22,4,2,,,5,360,900,2466.9,,,157,,,,0,,,21,,,,,,,,,177,,1000,,2156,0,,,,36,108,,,,,,,,,,,,1,1,,,
,814023,,,444,,23,4,2,,,5,360,900,2575.8,,,168,,,,0,,,23,,,,,,,,,177,,1000,,2156,0,,,,39,117,,,,,,,,,,,,1,1,,,
,814024,,,444,,24,4,2,,,5,360,900,2684.7,,,179,,,,0,,,30,,,,,,,,,177,,1000,,2156,0,,,,42,126,,,,,,,,,,,,1,1,,,
,814025,,,444,,25,4,2,,,5,360,900,3041,,,195,,,,0,,,39,,,,,,,,,177,,1000,,2156,0,,,,45,135,,,,,,,,,,,,1,1,,,
,814026,,,444,,26,4,2,,,5,360,900,3063,,,205,,,,0,,,45,,,,,,,,,118,,1000,,2157,0,,,,66,198,,,,,,,,,,,,1,1,,,
,814027,,,444,,27,4,2,,,5,360,900,3137,,,215,,,,0,,,56,,,,,,,,,118,,1000,,2157,0,,,,71,212,,,,,,,,,,,,1,1,,,
,814028,,,444,,28,4,2,,,5,360,900,3212,,,226,,,,0,,,64,,,,,,,,,118,,1000,,2157,0,,,,75,225,,,,,,,,,,,,1,1,,,
,814029,,,444,,29,4,2,,,5,360,900,3286,,,237,,,,0,,,73,,,,,,,,,128,,1000,,2157,0,,,,80,238,,,,,,,,,,,,1,1,,,
,814030,,,444,,30,4,2,,,5,360,900,3300,,,249,,,,0,,,84,,,,,,,,,128,,1000,,2157,0,,,,84,251,,,,,,,,,,,,1,1,,,
,814031,,,444,,31,4,2,,,5,360,900,3321,,,261,,,,0,,,95,,,,,,,,,154,,1000,,2157,0,,,,96,288,,,,,,,,,,,,1,1,,,
,814032,,,444,,32,4,2,,,5,360,900,3420,,,275,,,,0,,,105,,,,,,,,,174,,1000,,2157,0,,,,101,303,,,,,,,,,,,,1,1,,,
,814033,,,444,,33,4,2,,,5,360,900,3528,,,286,,,,0,,,115,,,,,,,,,174,,1000,,2157,0,,,,106,317,,,,,,,,,,,,1,1,,,
,814034,,,444,,34,4,2,,,5,360,900,3645,,,297,,,,0,,,125,,,,,,,,,174,,1000,,2157,0,,,,111,332,,,,,,,,,,,,1,1,,,
,814035,,,444,,35,4,2,,,5,360,900,3780,,,374,,,,0,,,162,,,,,,,,,174,,1000,,2157,0,,,,116,346,,,,,,,,,,,,1,1,,,
,814036,,,444,,36,4,2,,,5,360,900,3888,,,388,,,,0,,,174,,,,,,,,,184,,1000,,2157,0,,,,141,422,,,,,,,,,,,,1,1,,,
,814037,,,444,,37,4,2,,,5,360,900,4032,,,402,,,,0,,,188,,,,,,,,,184,,1000,,2157,0,,,,147,441,,,,,,,,,,,,1,1,,,
,814038,,,444,,38,4,2,,,5,360,900,4158,,,415,,,,0,,,202,,,,,,,,,184,,1000,,2157,0,,,,154,461,,,,,,,,,,,,1,1,,,
,814039,,,444,,39,4,2,,,5,360,900,4302,,,430,,,,0,,,215,,,,,,,,,184,,1000,,2157,0,,,,160,480,,,,,,,,,,,,1,1,,,
,814040,,,444,,40,4,2,,,5,360,900,4410,,,444,,,,0,,,234,,,,,,,,,184,,1000,,2157,0,,,,167,500,,,,,,,,,,,,1,1,,,
,814041,,,444,,41,4,2,,,5,360,900,4620.6,,,458,,,,55,,,246,,,,,,,,,184,,1000,,2158,0,,,,186,558,,,,,,,,,,,,1,1,,,
,814042,,,444,,42,4,2,,,5,360,900,4878.9,,,472,,,,56,,,258,,,,,,,,,184,,1000,,2158,0,,,,194,582,,,,,,,,,,,,1,1,,,
,814043,,,444,,43,4,2,,,5,360,900,5161.5,,,482,,,,57,,,271,,,,,,,,,184,,1000,,2158,0,,,,202,605,,,,,,,,,,,,1,1,,,
,814044,,,444,,44,4,2,,,5,360,900,5467.5,,,494,,,,59,,,284,,,,,,,,,184,,1000,,2158,0,,,,210,628,,,,,,,,,,,,1,1,,,
,814045,,,444,,45,4,2,,,5,360,900,5805,,,510,,,,62,,,299,,,,,,,,,184,,1000,,2158,0,,,,234,702,,,,,,,,,,,,1,1,,,
,814046,,,444,,46,4,2,,,5,360,900,6165,,,523,,,,65,,,313,,,,,,,,,184,,1000,,2158,0,,,,243,727,,,,,,,,,,,,1,1,,,
,814047,,,444,,47,4,2,,,5,360,900,6580.8,,,540,,,,69,,,330,,,,,,,,,184,,1000,,2158,0,,,,251,752,,,,,,,,,,,,1,1,,,
,814048,,,444,,48,4,2,,,5,360,900,6899.4,,,554,,,,76,,,343,,,,,,,,,184,,1000,,2158,0,,,,259,777,,,,,,,,,,,,1,1,,,
,814049,,,444,,49,4,2,,,5,360,900,7209,,,574,,,,83,,,356,,,,,,,,,184,,1000,,2158,0,,,,268,803,,,,,,,,,,,,1,1,,,
,814050,,,444,,50,4,2,,,5,360,900,7515.9,,,588,,,,90,,,374,,,,,,,,,184,,1000,,2158,0,,,,276,828,,,,,,,,,,,,1,1,,,
,814051,,,444,,51,4,2,,,5,360,900,7799.4,,,602,,,,95,,,388,,,,,,,,,130,,1000,,2158,0,,,,296,887,,,,,,,,,,,,1,1,,,
,814052,,,444,,52,4,2,,,5,360,900,8100.9,,,626,,,,100,,,402,,,,,,,,,130,,1000,,2158,0,,,,296,887,,,,,,,,,,,,1,1,,,
,814053,,,444,,53,4,2,,,5,360,900,8464.5,,,649,,,,101,,,415,,,,,,,,,130,,1000,,2158,0,,,,296,887,,,,,,,,,,,,1,1,,,
,814054,,,444,,54,4,2,,,5,360,900,8830.8,,,676,,,,101,,,430,,,,,,,,,141,,1000,,2158,0,,,,296,887,,,,,,,,,,,,1,1,,,
,814055,,,444,,55,4,2,,,5,360,900,9269.1,,,700,,,,102,,,444,,,,,,,,,141,,1000,,2158,0,,,,316,946,,,,,,,,,,,,1,1,,,
,814056,,,444,,56,4,2,,,5,360,900,16456,,,575,,,,,,,,,,,,,,,,169,,1000,,0,0,,,,338,1014,,,,,,,,,,,,1,1,,,
,814057,,,444,,57,4,2,,,5,360,900,16790,,,585,,,,,,,,,,,,,,,,190,,1000,,0,0,,,,349,1045,,,,,,,,,,,,1,1,,,
,814058,,,444,,58,4,2,,,5,360,900,17107,,,594,,,,,,,,,,,,,,,,190,,1000,,0,0,,,,359,1076,,,,,,,,,,,,1,1,,,
