物品ID,名字,描述(31汉字),物品详细描述（127汉字）,物品类型描述,物品栏图片,物品栏图片,物品栏图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求爵位,需求状态,死亡掉落几率,获取绑定,装备绑定,为1表示：物品不可以丢弃销毁,出售标志,买入价格,购物卷买入,买入士气,点卷购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切换地图是否消失,物品冷却ID,物品排序,lUseType_LUA,szGoods_LUA[64],死亡销毁,下线掉落,切换地图掉落,能否放仓库,交易所分类查询,BcmPickupMessage,long lDropCallLua,long lBaseParam_1,long lBaseParam_2,long lBaseParam_3,生活材料描述
80214,三档封印配方,**暂无**,,**暂无**,57018,57018,57018,3,3,1,0,0,,0,0,,,,,3000,3000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80215,四档封印配方,**暂无**,,**暂无**,57018,57018,57018,4,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80216,五档封印配方,**暂无**,,**暂无**,57018,57018,57018,5,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80217,六档封印配方,**暂无**,,**暂无**,57018,57018,57018,6,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80218,七档封印配方,**暂无**,,**暂无**,57018,57018,57018,7,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80219,八档封印配方,**暂无**,,**暂无**,57018,57018,57018,8,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80220,九档封印配方,**暂无**,,**暂无**,57018,57018,57018,9,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80221,一档加持配方,**暂无**,,**暂无**,57018,57018,57018,1,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80222,二档加持配方,**暂无**,,**暂无**,57018,57018,57018,2,3,1,0,0,,0,0,,,,,2000,2000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80223,三档加持配方,**暂无**,,**暂无**,57018,57018,57018,3,3,1,0,0,,0,0,,,,,3000,3000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80224,四档加持配方,**暂无**,,**暂无**,57018,57018,57018,4,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80225,五档加持配方,**暂无**,,**暂无**,57018,57018,57018,5,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80226,六档加持配方,**暂无**,,**暂无**,57018,57018,57018,6,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80227,七档加持配方,**暂无**,,**暂无**,57018,57018,57018,7,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80228,八档加持配方,**暂无**,,**暂无**,57018,57018,57018,8,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80229,九档加持配方,**暂无**,,**暂无**,57018,57018,57018,9,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80230,十档加持配方,**暂无**,,**暂无**,57018,57018,57018,10,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80231,引荐信,任务物品,,任务道具,57030,57030,57030,3,3,1,0,0,,0,0,1,,,,1,1,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80232,公文,任务物品,,任务道具,57003,57003,57003,3,3,1,0,0,,0,0,1,,,,1,1,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80233,一档土地契约,购买1级土地所需契约,,土地购买凭证,57030,57030,57030,1,3,1,,0,,0,0,,,,,667,667,0,7,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80234,二档土地契约,购买2级土地所需契约,★  [a]用途：[/]二档土地租用凭证#★  [a]获取：[/]商城出售#★  [a]说明：[/]按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]租用土地[/]标签→点[255:0:255]所有地图下拉列表[/]中的[255:0:255]二档资源采集区[/]→点任意[255:0:255]未开垦的2级土地[/]后面的[255:0:255]租用[/]按钮→租用需[255:0:255]金币和二档土地契约[/]#★  [a]租用后操作：[/]点[255:0:255]私有土地[/]标签查看土地，新买土地为空地，需[255:0:255]建设图纸建设[/]，建设方法见图纸说明#★  [45:238:23]特别提醒：土地资源采集场具有保护机制，每次停机维护以后土地使用时间和资源总数不会减少，重进游戏后即恢复使用[/],土地购买凭证,104281,104281,104281,2,3,1,8000,0,,0,0,,,,,2250,2250,0,150,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80235,三档土地契约,购买3级土地所需契约,★  [a]用途：[/]三档土地租用凭证#★  [a]获取：[/]商城出售#★  [a]说明：[/]按[255:0:255]L[/]打开[255:0:255]土地界面[/]选[255:0:255]租用土地[/]标签→点[255:0:255]所有地图下拉列表[/]中的[255:0:255]三档资源采集区[/]→点任意[255:0:255]未开垦的3级土地[/]后面的[255:0:255]租用[/]按钮→租用需[255:0:255]金币和三档土地契约[/]#★  [a]租用后操作：[/]点[255:0:255]私有土地[/]标签查看土地，新买土地为空地，需[255:0:255]建设图纸建设[/]，建设方法见图纸说明#★  [45:238:23]特别提醒：土地资源采集场具有保护机制，每次停机维护以后土地使用时间和资源总数不会减少，重进游戏后即恢复使用[/],土地购买凭证,104281,104281,104281,3,3,1,8000,0,,0,0,,,,,6665,6665,0,700,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80236,战斗海螺,**暂无**,,**暂无**,57006,57006,57006,3,3,1,0,0,,0,0,,,,,1,1,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80246,一档近战元素,**暂无**,,**暂无**,53065,53065,53065,1,3,1,0,0,,0,0,,,,,4,8,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80247,一档火药元素,**暂无**,,**暂无**,53066,53066,53066,1,3,1,0,0,,0,0,,,,,4,8,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80248,一档魔法元素,**暂无**,,**暂无**,53067,53067,53067,1,3,1,0,0,,0,0,,,,,4,8,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80249,技能元素,技能释放材料,★  [a]用途：[/]技能释放材料#★  [a]获取：[/]生活技能[255:0:255]金属采集3级、水晶采集3级、伐木3级和狩猎3级[/]都可以制造#★  [a]说明：[/][255:0:255]新手商人[/]和[255:0:255]药店[/]都有出售,技能释放材料,53068,53068,53068,1,3,1,6002,0,,0,0,,,,,3,8,0,,,,9999,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80250,二档近战元素,**暂无**,,**暂无**,53147,53147,53147,2,3,1,0,0,,0,0,,,,,366,732,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80251,二档火药元素,**暂无**,,**暂无**,53148,53148,53148,2,3,1,0,0,,0,0,,,,,366,732,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80252,二档魔法元素,**暂无**,,**暂无**,53149,53149,53149,2,3,1,0,0,,0,0,,,,,366,732,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80253,二档混合元素,**暂无**,,**暂无**,53150,53150,53150,2,3,1,0,0,,0,0,,,,,810,1620,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80254,三档近战元素,**暂无**,,**暂无**,53151,53151,53151,3,3,1,0,0,,0,0,,,,,22,44,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80255,三档火药元素,**暂无**,,**暂无**,53152,53152,53152,3,3,1,0,0,,0,0,,,,,22,44,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80256,三档魔法元素,**暂无**,,**暂无**,53153,53153,53153,3,3,1,0,0,,0,0,,,,,22,44,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80257,三档混合元素,**暂无**,,**暂无**,53154,53154,53154,3,3,1,0,0,,0,0,,,,,33,66,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80264,驱魔挂件,任务物品,,任务道具,57038,57038,57038,1,3,1,0,0,,0,0,1,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80265,伏魔挂件,任务物品,,任务道具,57038,57038,57038,1,3,1,0,0,,0,0,1,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80266,除魔挂件,任务物品,,任务道具,57038,57038,57038,1,3,1,0,0,,0,0,1,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80267,弑魔挂件,任务物品,,任务道具,57038,57038,57038,2,3,1,0,0,,0,0,1,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80273,重生十字章(赠送),可以在浮空岛中复活的战争道具,★  [a]用途：[/][255:0:255]重生十字章（赠送）[/]能让您在浮空岛的战争中复活，而不会离开战争#★  [a]获取：[/]每次进入各种浮空岛都会[255:0:255]赠送数个[/]此物品#★  [a]说明：[/]该物品[255:0:255]不可交易[/]，赠送的重生十字章离开战争时[255:0:255]自动销毁[/],战争复活道具,57040,57040,57040,1,3,1,0,0,,0,0,1,,,1,1000,1000,0,20,,,1000,,-1,0,,-1,1,,,,,,,,,0,,,,,,
80274,重生十字章,可以在浮空岛中复活的战争道具,★  [a]用途：[/][255:0:255]重生十字章[/]能让您在浮空岛的战争中复活，而不会离开战争#★  [a]获取：[/]可以通过[255:0:255]商城[/]购买，允许永久保存#★  [a]说明：[/]同一战争中[255:0:255]死亡次数越多[/]，所需的[255:0:255]重生十字章[/]越多,战争复活道具,57040,57040,57040,2,3,1,5005,0,,0,0,0,,,,2000,2000,0,20,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80275,一档资源刷新凭证,土地刷新资源的凭证，允许在一档土地刷新资源350,,土地道具,57041,57041,57041,1,3,1,0,0,,0,0,,,,,800,800,0,8,,,1000,1,-1,0,,-1,,,,,,,,,,0,,,,,,
80276,二档资源刷新凭证,土地刷新资源的凭证，允许在二档土地刷新资源350,★  [a]用途：[/]二档土地刷新资源的凭证，允许[255:0:255]刷新资源350[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/]到自己需要刷新的土地→点[255:0:255]土地管理员[/]→选择[255:0:255]土地资源刷新[/]功能条→开始刷新→[255:0:255]扣除背包中相应的刷新凭证[/]#★  [45:238:23]特别提醒：土地资源采集场具有保护机制，每次停机维护以后土地使用时间和资源总数不会减少，重进游戏后即恢复使用[/],土地道具,57041,57041,57041,2,3,1,8000,0,,0,0,,,,,2400,2400,0,150,,,1000,1,-1,1,,-1,,,,,,,,,,0,,,,,,
80277,三档资源刷新凭证,土地刷新资源的凭证，允许在三档土地刷新资源350,★  [a]用途：[/]三档土地刷新资源的凭证，允许[255:0:255]刷新资源350[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/]到自己需要刷新的土地→点[255:0:255]土地管理员[/]→选择[255:0:255]土地资源刷新[/]功能条→开始刷新→[255:0:255]扣除背包中相应的刷新凭证[/]#★  [45:238:24]特别提醒：土地资源采集场具有保护机制，每次停机维护以后土地使用时间和资源总数不会减少，重进游戏后即恢复使用[/],土地道具,57041,57041,57041,3,3,1,8000,0,,0,0,,,,,7200,7200,0,700,,,1000,1,-1,1,,-1,,,,,,,,,,0,,,,,,
80278,四档资源刷新凭证,土地刷新资源的凭证，允许在四档土地刷新资源350,★  [a]用途：[/]四档土地刷新资源的凭证，允许[255:0:255]刷新资源350[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/]到自己需要刷新的土地→点[255:0:255]土地管理员[/]→选择[255:0:255]土地资源刷新[/]功能条→开始刷新→[255:0:255]扣除背包中相应的刷新凭证[/]#★  [45:238:25]特别提醒：土地资源采集场具有保护机制，每次停机维护以后土地使用时间和资源总数不会减少，重进游戏后即恢复使用[/],土地道具,57041,57041,57041,4,3,1,0,0,,0,0,,,,,21600,21600,0,216,,,1000,1,-1,1,,-1,,,,,,,,,,0,,,,,,
80279,五档资源刷新凭证,土地刷新资源的凭证，允许在五档土地刷新资源350,★  [a]用途：[/]五档土地刷新资源的凭证，允许[255:0:255]刷新资源350[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/]到自己需要刷新的土地→点[255:0:255]土地管理员[/]→选择[255:0:255]土地资源刷新[/]功能条→开始刷新→[255:0:255]扣除背包中相应的刷新凭证[/]#★  [45:238:26]特别提醒：土地资源采集场具有保护机制，每次停机维护以后土地使用时间和资源总数不会减少，重进游戏后即恢复使用[/],土地道具,57041,57041,57041,5,3,1,0,0,,0,0,,,,,0,0,0,20,,,1000,1,-1,1,,-1,,,,,,,,,,0,,,,,,
80280,一档土地续约凭证,一档土地使用期限延长60分钟的凭证,,土地道具,57042,57042,57042,2,3,1,0,0,,0,0,,,,,400,400,0,4,,,1000,1,-1,0,,-1,,,,,,,,,,0,,,,,,
80281,二档土地续约凭证,二档土地使用期限延长60分钟的凭证,★  [a]用途：[/]二档土地使用期限[255:0:255]延长60分钟[/]的凭证#★  [a]获取：[/]商城出售#★  [a]说明：[/]到自己需要延长使用时间的土地→点[255:0:255]土地管理员[/]→选择[255:0:255]土地延长时间[/]功能条→选择[255:0:255]延长具体时间[/]→[255:0:255]扣除背包中相应的延长时间凭证[/]#★  [45:238:23]特别提醒：土地资源采集场具有保护机制，每次停机维护以后土地使用时间和资源总数不会减少，重进游戏后即恢复使用[/],土地道具,57042,57042,57042,2,3,1,8000,0,,0,0,,,,,1200,1200,0,50,,,1000,1,-1,1,,-1,,,,,,,,,,0,,,,,,
80282,三档土地续约凭证,三档土地使用期限延长60分钟的凭证,★  [a]用途：[/]三档土地使用期限[255:0:255]延长60分钟[/]的凭证#★  [a]获取：[/]商城出售#★  [a]说明：[/]到自己需要延长使用时间的土地→点[255:0:255]土地管理员[/]→选择[255:0:255]土地延长时间[/]功能条→选择[255:0:255]延长具体时间[/]→[255:0:255]扣除背包中相应的延长时间凭证[/]#★  [45:238:24]特别提醒：土地资源采集场具有保护机制，每次停机维护以后土地使用时间和资源总数不会减少，重进游戏后即恢复使用[/],土地道具,57042,57042,57042,3,3,1,8000,0,,0,0,,,,,3600,3600,0,300,,,1000,1,-1,1,,-1,,,,,,,,,,0,,,,,,
80283,四档土地续约凭证,四档土地使用期限延长60分钟的凭证,★  [a]用途：[/]四档土地使用期限[255:0:255]延长60分钟[/]的凭证#★  [a]获取：[/]商城出售#★  [a]说明：[/]到自己需要延长使用时间的土地→点[255:0:255]土地管理员[/]→选择[255:0:255]土地延长时间[/]功能条→选择[255:0:255]延长具体时间[/]→[255:0:255]扣除背包中相应的延长时间凭证[/]#★  [45:238:25]特别提醒：土地资源采集场具有保护机制，每次停机维护以后土地使用时间和资源总数不会减少，重进游戏后即恢复使用[/],土地道具,57042,57042,57042,4,3,1,0,0,,0,0,,,,,10800,10800,0,108,,,1000,1,-1,1,,-1,,,,,,,,,,0,,,,,,
80284,五档土地续约凭证,五档土地使用期限延长60分钟的凭证,★  [a]用途：[/]五档土地使用期限[255:0:255]延长60分钟[/]的凭证#★  [a]获取：[/]商城出售#★  [a]说明：[/]到自己需要延长使用时间的土地→点[255:0:255]土地管理员[/]→选择[255:0:255]土地延长时间[/]功能条→选择[255:0:255]延长具体时间[/]→[255:0:255]扣除背包中相应的延长时间凭证[/]#★  [45:238:26]特别提醒：土地资源采集场具有保护机制，每次停机维护以后土地使用时间和资源总数不会减少，重进游戏后即恢复使用[/],土地道具,57042,57042,57042,5,3,1,0,0,,0,0,,,,,0,0,0,20,,,1000,1,-1,1,,-1,,,,,,,,,,0,,,,,,
80289,水晶币,水晶币,★  [a]用途：[/]在新手商店、二档装备制造、装备改造等地方[255:0:255]可以等同金币使用[/],水晶币,1149,1149,1149,1,3,1,0,0,,0,0,1,,,1,1,1,0,,,,99999,,-1,0,,-1,0,,,,,,,,1,0,,,,,,
80381,劣质升级魔晶,可以提升一、二档装备升级时的少量成功率和高品质率,★  [a]用途：[/]可以提升一、二档装备升级时的成功率和高品质率#★  [a]获取：[/]防守浮空岛#★  [a]说明：[/]在主城[255:0:255]研究所[/]→寻找[255:0:255]装备改造师[/]→选择[255:0:255]装备升级[/]功能条→放入[255:0:255]劣质升级魔晶[/]提升成功率和高品质率→开始升级,装备升级材料,57074,57074,57074,2,3,1,5020,0,,0,0,,,,,800,800,0,8,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80382,普通升级魔晶,可以提升三、四档装备升级时的少量成功率和高品质率,★  [a]用途：[/]可以提升三、四档装备升级时的成功率和高品质率#★  [a]获取：[/]防守浮空岛#★  [a]说明：[/]在主城[255:0:255]研究所[/]→寻找[255:0:255]装备改造师[/]→选择[255:0:255]装备升级[/]功能条→放入[255:0:255]普通升级魔晶[/]提升成功率和高品质率→开始升级,装备升级材料,57075,57075,57075,2,3,1,5020,0,,0,0,,,,,1000,1000,0,40,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80383,劣质合成魔晶,可以提升一、二档装备合成成功率15%,★  [a]用途：[/]可以提升一、二档装备合成成功率15%#★  [a]获取：[/]拉锯勋章、藏宝图、宝箱活动#★  [a]说明：[/]主城[255:0:255]研究所[/]→寻找[255:0:255]装备改造师[/]→选择[255:0:255]装备合成[/]功能条→放入[255:0:255]劣质合成魔晶[/]提高合成成功率→开始合成#★  [a]合成能将副装备的附加属性、宝石属性和宝石凹槽数（必须为已经凿出的凹槽，卡片槽无法合成）按成功率赋予主装备，合成需要两件同类装备，合成后，副装备消失[/],装备合成材料,57076,57076,57076,2,3,1,5020,0,,0,0,,,,,800,800,0,8,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80384,普通合成魔晶,可以提升三、四档装备合成成功率15%,★  [a]用途：[/]可以提升三、四档装备合成成功率15%#★  [a]获取：[/]拉锯勋章、藏宝图、宝箱活动#★  [a]说明：[/]主城[255:0:255]研究所[/]→寻找[255:0:255]装备改造师[/]→选择[255:0:255]装备合成[/]功能条→放入[255:0:255]普通合成魔晶[/]提高合成成功率→开始合成#★  [a]合成能将副装备的附加属性、宝石属性和宝石凹槽数（必须为已经凿出的凹槽，卡片槽无法合成）按成功率赋予主装备，合成需要两件同类装备，合成后，副装备消失[/],装备合成材料,57077,57077,57077,2,3,1,5020,0,,0,0,,,,,4000,4000,0,40,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80385,一档套装激活魔晶,一档装备激活为套装道具。,★  [a]用途：[/]一档装备激活为套装时所需道具#★  [a]获取：[/]无#★  [a]说明：[/]主城→研究所→装备保养员→选择[255:0:255]套装激活[/]→放入需要激活的一档装备→放入[255:0:255]一档套装激活魔晶2个[/]→开始激活,套装激活道具,104262,104262,104262,1,3,1,0,0,,0,0,,,,,0,0,0,20,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80386,二档套装激活魔晶,二档装备激活为套装道具。,★  [a]用途：[/]二档装备激活为套装时所需道具#★  [a]获取：[/]无#★  [a]说明：[/]主城→研究所→装备保养员→选择[255:0:255]套装激活[/]→放入需要激活的二档装备→放入[255:0:255]二档套装激活魔晶2个[/]→开始激活,套装激活道具,104263,104263,104263,2,3,1,0,0,,0,0,,,,,0,0,0,20,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80387,三档套装激活魔晶,三档装备激活为套装道具。,★  [a]用途：[/]三档装备激活为套装时所需道具#★  [a]获取：[/]拉锯勋章、藏宝图、宝箱活动#★  [a]说明：[/]主城→研究所→装备保养员→选择[255:0:255]套装激活[/]→放入需要激活的三档装备→放入[255:0:255]三档套装激活魔晶2个[/]→开始激活,套装激活道具,104264,104264,104264,3,3,1,5020,0,,0,0,,,,,20000,20000,0,200,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80388,四档套装激活魔晶,四档装备激活为套装道具。,★  [a]用途：[/]四档装备激活为套装时所需道具#★  [a]获取：[/]拉锯勋章、藏宝图、宝箱活动#★  [a]说明：[/]主城→研究所→装备保养员→选择[255:0:255]套装激活[/]→放入需要激活的四档装备→放入[255:0:255]四档套装激活魔晶2个[/]→开始激活,套装激活道具,104265,104265,104265,4,3,1,5020,0,,0,0,,,,,40000,40000,0,400,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80391,五彩石,任务物品,,任务道具,53168,53168,53168,1,3,1,0,0,,0,0,1,,,1,1,1,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80392,一批物资,任务物品,,任务道具,57043,57043,57043,1,3,1,0,0,,0,0,1,,,1,1,1,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80393,合金弹头,任务物品,,任务道具,57044,57044,57044,1,3,1,0,0,,0,0,1,,,1,1,1,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80394,英雄转换魔晶,可以随时激活其它英雄，不受激活地点限制的道具,★  [a]用途：[/]可以随时激活其它英雄#★  [a]获取：[/]商城出售#★  [a]说明：[/]激活时不受激活地点限制,特殊物品,53069,53069,53069,2,3,1,5005,0,,0,0,,,,,,,0,100,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80395,一批弹药,任务物品,,任务道具,57043,57043,57043,1,3,1,0,0,,0,0,1,,,1,1,1,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80396,火枪弹药,任务物品,,任务道具,57044,57044,57044,1,3,1,0,0,,0,0,1,,,1,1,1,0,,,,10,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80397,聊天石,世界、vip频道聊天需要消耗的道具,★  [a]用途：[/]世界聊天、vip频道都要消耗的道具#★  [a]获取：[/]商城出售#★  [a]说明：[/]世界频道每次发言消耗1个，vip频道每次发言消耗4个,聊天道具,57048,57048,57048,2,3,1,5005,0,,0,0,,,,,1000,2000,0,40,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80398,T1提炼石,可以提取一档所有装备附加属性的石头,★  [a]用途：[/]可以提取一档所有装备的[255:0:255]附加属性[/]于石头上#★  [a]获取：[/]#★  [a]说明：[/]通过[255:0:255]点化系统[/]可以把石头上的属性附加给其它一档装备，装备的附加属性和石头必须有相同属性才能附加成功，可以找[255:0:255]研究所装备改造师[/]进行属性提炼和装备点化,提炼道具,57049,57049,57049,1,3,3,0,0,,0,0,,,,,0,0,0,20,,,1,,-1,0,,-1,0,,,,,,,,,4,,,,,,
80399,T2提炼石,可以提取二档所有装备附加属性的石头,★  [a]用途：[/]可以提取二档所有装备的[255:0:255]附加属性[/]于石头上#★  [a]获取：[/]#★  [a]说明：[/]通过[255:0:255]点化系统[/]可以把石头上的属性附加给其它二档装备，装备的附加属性和石头必须有相同属性才能附加成功，可以找[255:0:255]研究所装备改造师[/]进行属性提炼和装备点化,提炼道具,57050,57050,57050,2,3,3,0,0,,0,0,,,,,0,0,0,20,,,1,,-1,0,,-1,0,,,,,,,,,4,,,,,,
80400,T3提炼石,提炼道具,★  [a]用途：[/]可以提取三档所有装备的[255:0:255]附加属性[/]于石头上#★  [a]获取：[/]拉锯勋章、藏宝图、宝箱活动#★  [a]说明：[/]通过[255:0:255]点化系统[/]可以把石头上的属性附加给其它三档装备，装备的附加属性和石头必须有相同属性才能附加成功，可以找[255:0:255]研究所装备改造师[/]进行属性提炼和装备点化,提炼道具,57051,57051,57051,3,3,3,5031,0,,0,0,,,,,20000,20000,0,200,,,1,,-1,1,,-1,0,,,,,,,,,4,,,,,,
80401,T4提炼石,提炼道具,★  [a]用途：[/]可以提取四档所有装备的[255:0:255]附加属性[/]于石头上#★  [a]获取：[/]拉锯勋章、藏宝图、宝箱活动#★  [a]说明：[/]通过[255:0:255]点化系统[/]可以把石头上的属性附加给其它四档装备，装备的附加属性和石头必须有相同属性才能附加成功，可以找[255:0:255]研究所装备改造师[/]进行属性提炼和装备点化,提炼道具,57052,57052,57052,4,3,3,5031,0,,0,0,,,,,40000,40000,0,400,,,1,,-1,1,,-1,0,,,,,,,,,4,,,,,,
80402,劣质提炼祝福水晶,**暂无**,,**暂无**,53061,53061,53061,1,3,1,0,0,,0,0,,,,,0,0,0,20,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80403,普通提炼祝福水晶,**暂无**,,**暂无**,53061,53061,53061,2,3,1,0,0,,0,0,,,,,0,0,0,20,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80404,劣质提炼魔晶,可以提升一、二档装备提炼时的成功率15%,★  [a]用途：[/]可以提升一、二档装备提炼时的成功率15%#★  [a]获取：[/]#★  [a]说明：[/]在主城[255:0:255]研究所[/]→寻找[255:0:255]装备改造师[/]→选择[255:0:255]装备提炼[/]功能条→放入[255:0:255]劣质提炼魔晶[/]提升提炼成功率→开始提炼,装备提炼材料,57078,57078,57078,1,3,1,0,0,,0,0,,,,,2000,2000,0,20,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80405,普通提炼魔晶,可以提升三、四档装备提炼时的成功率15%,★  [a]用途：[/]可以提升三、四档装备提炼时的成功率15%#★  [a]获取：[/]拉锯勋章、藏宝图、宝箱活动#★  [a]说明：[/]在主城[255:0:255]研究所[/]→寻找[255:0:255]装备改造师[/]→选择[255:0:255]装备提炼[/]功能条→放入[255:0:255]普通提炼魔晶[/]提升提炼成功率→开始提炼,装备提炼材料,57079,57079,57079,2,3,1,5020,0,,0,0,,,,,4000,4000,0,40,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80406,劣质点化祝福水晶,**暂无**,,**暂无**,53061,53061,53061,1,3,1,0,0,,0,0,,,,,0,0,0,20,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80407,普通点化祝福水晶,**暂无**,,**暂无**,53061,53061,53061,2,3,1,0,0,,0,0,,,,,0,0,0,20,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80408,劣质点化魔晶,可以提升一、二档装备点化时的成功率15%,★  [a]用途：[/]可以提升一、二档装备点化时的成功率15%#★  [a]获取：[/]#★  [a]说明：[/]在主城[255:0:255]研究所[/]→寻找[255:0:255]装备改造师[/]→选择[255:0:255]装备点化[/]功能条→放入[255:0:255]劣质点化魔晶[/]提升点化成功率→开始点化,装备点化材料,57080,57080,57080,1,3,1,0,0,,0,0,,,,,2000,2000,0,20,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80409,普通点化魔晶,可以提升三、四档装备点化时的成功率15%,★  [a]用途：[/]可以提升三、四档装备点化时的成功率15%#★  [a]获取：[/]拉锯勋章、藏宝图、宝箱活动#★  [a]说明：[/]在主城[255:0:255]研究所[/]→寻找[255:0:255]装备改造师[/]→选择[255:0:255]装备点化[/]功能条→放入[255:0:255]普通点化魔晶[/]提升点化成功率→开始点化,装备点化材料,57081,57081,57081,2,3,1,5020,0,,0,0,,,,,4000,4000,0,40,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80410,,掉落金币,掉落金币,掉落金币,57010,57010,57010,1,3,1,0,0,,0,0,,,,,0,0,0,,,,9999,,-1,0,,-1,0,,,,,,,,,0,,,,,,
