1,名字,描述,物品详细描述(127汉字),物品类型描述,物品栏图片,地上图片,缩小图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求爵位,需求状态,死亡掉落几率,获取绑定,装备绑定,销毁标志,出售标志,买入价格,购物卷买入,买入士气,点卷购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切换地图是否消失,物品冷却ID,物品排序,lUseType_LUA,szGoods_LUA[64],死亡销毁,下线掉落,切换地图掉落,能否放仓库,交易所分类查询,BcmPickupMessage,long lDropCallLua,long lBaseParam_1,long lBaseParam_2,long lBaseParam_3,参数1,参数2,参数3,参数4,luA函数名
30105,魔力手套学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：手套制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,105,0,0,0,WorkSkill_StudySkillByGoods
30106,魔力手套专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：手套制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,106,0,0,0,WorkSkill_StudySkillByGoods
30107,魔力手套大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：手套制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,107,0,0,0,WorkSkill_StudySkillByGoods
30108,星屑手套学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：手套制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,108,0,0,0,WorkSkill_StudySkillByGoods
30109,星屑手套专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：手套制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,520,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,109,0,0,0,WorkSkill_StudySkillByGoods
30110,星屑手套大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：手套制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,110,0,0,0,WorkSkill_StudySkillByGoods
30111,守护之靴学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,111,0,0,0,WorkSkill_StudySkillByGoods
30112,守护之靴专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,112,0,0,0,WorkSkill_StudySkillByGoods
30113,守护之靴大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,113,0,0,0,WorkSkill_StudySkillByGoods
30114,野蛮战靴学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,114,0,0,0,WorkSkill_StudySkillByGoods
30115,野蛮战靴专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,520,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,115,0,0,0,WorkSkill_StudySkillByGoods
30116,野蛮战靴大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,116,0,0,0,WorkSkill_StudySkillByGoods
30117,防风马靴学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,117,0,0,0,WorkSkill_StudySkillByGoods
30118,防风马靴专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,118,0,0,0,WorkSkill_StudySkillByGoods
30119,防风马靴大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,119,0,0,0,WorkSkill_StudySkillByGoods
30120,灵巧马靴学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,120,0,0,0,WorkSkill_StudySkillByGoods
30121,灵巧马靴专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,520,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,121,0,0,0,WorkSkill_StudySkillByGoods
30122,灵巧马靴大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,122,0,0,0,WorkSkill_StudySkillByGoods
30123,魔力之靴学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,123,0,0,0,WorkSkill_StudySkillByGoods
30124,魔力之靴专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,124,0,0,0,WorkSkill_StudySkillByGoods
30125,魔力之靴大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,125,0,0,0,WorkSkill_StudySkillByGoods
30126,星屑之靴学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,126,0,0,0,WorkSkill_StudySkillByGoods
30127,星屑之靴专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,520,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,127,0,0,0,WorkSkill_StudySkillByGoods
30128,星屑之靴大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：鞋子制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,128,0,0,0,WorkSkill_StudySkillByGoods
30129,守护腿甲学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,129,0,0,0,WorkSkill_StudySkillByGoods
30130,守护腿甲专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,130,0,0,0,WorkSkill_StudySkillByGoods
30131,守护腿甲大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,131,0,0,0,WorkSkill_StudySkillByGoods
30132,野蛮护腿学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,132,0,0,0,WorkSkill_StudySkillByGoods
30133,野蛮护腿专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,520,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,133,0,0,0,WorkSkill_StudySkillByGoods
30134,野蛮护腿大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,134,0,0,0,WorkSkill_StudySkillByGoods
30135,防风护腿学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,135,0,0,0,WorkSkill_StudySkillByGoods
30136,防风护腿专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,136,0,0,0,WorkSkill_StudySkillByGoods
30137,防风护腿大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,137,0,0,0,WorkSkill_StudySkillByGoods
30138,灵巧护腿学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,138,0,0,0,WorkSkill_StudySkillByGoods
30139,灵巧护腿专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,520,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,139,0,0,0,WorkSkill_StudySkillByGoods
30140,灵巧护腿大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,140,0,0,0,WorkSkill_StudySkillByGoods
30141,魔力护腿学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,141,0,0,0,WorkSkill_StudySkillByGoods
30142,魔力护腿专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,142,0,0,0,WorkSkill_StudySkillByGoods
30143,魔力护腿大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,143,0,0,0,WorkSkill_StudySkillByGoods
30144,星屑护腿学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,144,0,0,0,WorkSkill_StudySkillByGoods
30145,星屑护腿专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,520,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,145,0,0,0,WorkSkill_StudySkillByGoods
30146,星屑护腿大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：护腿制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,146,0,0,0,WorkSkill_StudySkillByGoods
30147,守护腰带学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,147,0,0,0,WorkSkill_StudySkillByGoods
30148,守护腰带专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,148,0,0,0,WorkSkill_StudySkillByGoods
30149,守护腰带大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,149,0,0,0,WorkSkill_StudySkillByGoods
30150,野蛮腰带学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,150,0,0,0,WorkSkill_StudySkillByGoods
30151,野蛮腰带专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,520,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,151,0,0,0,WorkSkill_StudySkillByGoods
30152,野蛮腰带大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,152,0,0,0,WorkSkill_StudySkillByGoods
30153,防风腰带学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,153,0,0,0,WorkSkill_StudySkillByGoods
30154,防风腰带专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,154,0,0,0,WorkSkill_StudySkillByGoods
30155,防风腰带大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,155,0,0,0,WorkSkill_StudySkillByGoods
30156,灵巧腰带学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,156,0,0,0,WorkSkill_StudySkillByGoods
30157,灵巧腰带专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,520,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,157,0,0,0,WorkSkill_StudySkillByGoods
30158,灵巧腰带大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,158,0,0,0,WorkSkill_StudySkillByGoods
30159,魔力束带学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,159,0,0,0,WorkSkill_StudySkillByGoods
30160,魔力束带专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,160,0,0,0,WorkSkill_StudySkillByGoods
30161,魔力束带大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,161,0,0,0,WorkSkill_StudySkillByGoods
30162,星屑束带学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,162,0,0,0,WorkSkill_StudySkillByGoods
30163,星屑束带专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,520,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,163,0,0,0,WorkSkill_StudySkillByGoods
30164,星屑束带大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：腰带制造,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,164,0,0,0,WorkSkill_StudySkillByGoods
30165,刺客飘带学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,120,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,165,0,0,0,WorkSkill_StudySkillByGoods
30166,刺客飘带专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,166,0,0,0,WorkSkill_StudySkillByGoods
30167,刺客飘带大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,167,0,0,0,WorkSkill_StudySkillByGoods
30168,魔王之眼学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,120,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,168,0,0,0,WorkSkill_StudySkillByGoods
30169,魔王之眼专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,169,0,0,0,WorkSkill_StudySkillByGoods
30170,魔王之眼大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,170,0,0,0,WorkSkill_StudySkillByGoods
30171,鬼魅披肩学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,120,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,171,0,0,0,WorkSkill_StudySkillByGoods
30172,鬼魅披肩专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,280,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,172,0,0,0,WorkSkill_StudySkillByGoods
30173,鬼魅披肩大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,173,0,0,0,WorkSkill_StudySkillByGoods
30174,猛兽之眼学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,40,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,174,0,0,0,WorkSkill_StudySkillByGoods
30175,猛兽之眼专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,175,0,0,0,WorkSkill_StudySkillByGoods
30176,猛兽之眼大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,176,0,0,0,WorkSkill_StudySkillByGoods
30177,鬼魅项链学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,40,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,177,0,0,0,WorkSkill_StudySkillByGoods
30178,鬼魅项链专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,178,0,0,0,WorkSkill_StudySkillByGoods
30179,鬼魅项链大师卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,440,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,179,0,0,0,WorkSkill_StudySkillByGoods
30180,地狱项链学徒卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,40,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,180,0,0,0,WorkSkill_StudySkillByGoods
30181,地狱项链专家卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：饰品制造,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,160,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,181,0,0,0,WorkSkill_StudySkillByGoods
