物品ID,名字,描述,物品详细描述(127汉字),物品类型描述,物品栏图片,地上图片,缩小图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求爵位,需求状态,死亡掉落几率,获取绑定,装备绑定,销毁标志,出售标志,买入价格,买入购物券,买入士气,点券购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切地图消失,冷却ID,排序等级,,,,,,,,BcmPickupMessage,long lDropCallLua,long lParam_1,long lParam_2,long lParam_3,需求技能,基本效果ID1,基本效果ID2,基本效果ID3,基本效果ID4,基本效果ID5,基本效果ID6,基本效果ID7,基本效果ID8,卡片数,卡片数,精炼等级?,最大耐久上限,装备种类,套装ID,攻击速度,攻击动作,鉴定费用,可装备的位置1,可装备的位置2,可装备的位置3,可装备的位置4,制造属性1的ID1，固定类型,制造属性2的ID2，固定类型,制造属性3的ID，不可升级,精炼属性ID,精炼的3级熟练度配置,lE_Slot_Min,lE_Slot_Max,部件ID1,男外形_游1,女外形_游1,男外形1,女外形1,部件ID2,男外形_游2,女外形_游2,男外形2,女外形2,部件ID3,男外形_游3,女外形_游3,男外形3,女外形3,lHideHair,lHideHair,lHideHair,能否升级,合成原料1,原料1数量,合成原料2,原料2数量,合成原料3,原料3数量,合成原料4,原料4数量,合成原料5,原料5数量,可镶嵌的宝石种类,可镶嵌的宝石档次上限,,long lULShowID[UL_STATEID_MAX],NeedSex,lAddCallLua,lNotShowBedeck,lAddTimeNeedNum,RepairPayforType,装备降级类型
10373,桦木巨锤[荣誉],荣誉士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,51005,51005,51005,10,1,,0,0,0,0,0,1,,,,,,7134,,,2140,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93285,95197,95505,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10374,桦木巨锤[元力],元力士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,51005,51005,51005,11,1,,0,0,0,0,0,1,,,,,,7134,,,2140,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93286,95198,95506,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10375,黑龙之血[1档],1档士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,53064,53064,53064,1,1,,0,0,0,0,0,1,,,,,,958,,,287,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93287,95199,95507,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10376,黑龙之血[2档],2档士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,53064,53064,53064,2,1,,0,0,0,0,0,1,,,,,,1915,,,575,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93288,95200,95508,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10377,黑龙之血[3档],3档士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,53064,53064,53064,3,1,,0,0,0,0,0,1,,,,,,2554,,,766,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93289,95201,95509,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10378,黑龙之血[4档],4档士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,53064,53064,53064,4,1,,0,0,0,0,0,1,,,,,,6224,,,1867,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93290,95202,95510,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379,黑龙之血[5档],5档士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,53064,53064,53064,5,1,,0,0,0,0,0,1,,,,,,7820,,,2346,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93291,95203,95511,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10380,黑龙之血[6档],6档士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,53064,53064,53064,6,1,,0,0,0,0,0,1,,,,,,10427,,,3128,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93292,95204,95512,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10381,黑龙之血[7档],7档士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,53064,53064,53064,7,1,,0,0,0,0,0,1,,,,,,16918,,,5075,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93293,95205,95513,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382,黑龙之血[8档],8档士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,53064,53064,53064,8,1,,0,0,0,0,0,1,,,,,,22344,,,6703,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93294,95206,95514,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10383,黑龙之血[9档],9档士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,53064,53064,53064,9,1,,0,0,0,0,0,1,,,,,,26813,,,8044,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93295,95207,95515,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10384,黑龙之血[荣誉],荣誉士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,53064,53064,53064,10,1,,0,0,0,0,0,1,,,,,,10427,,,3128,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93296,95208,95516,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385,黑龙之血[元力],元力士气装备，★ 带魔性的兵器，可提高所有类型的攻击力,★ 带魔性的兵器，可提高所有类型的攻击力,士气装备,53064,53064,53064,11,1,,0,0,0,0,0,1,,,,,,10427,,,3128,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93297,95209,95517,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10386,上古杀器：灭[1档],1档士气装备，★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],士气装备,62501,62501,62501,1,1,,0,1,0,0,100,0,,,,,,0,,,575,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93298,95210,95518,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10375,1,10364,1,10342,1,,,,,,,,,,,,,,
10387,上古杀器：灭[2档],2档士气装备，★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],士气装备,62501,62501,62501,2,1,,0,1,0,0,100,0,,,,,,0,,,1150,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93299,95211,95519,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10376,1,10365,1,10343,1,,,,,,,,,,,,,,
10388,上古杀器：灭[3档],3档士气装备，★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],士气装备,62501,62501,62501,3,1,,0,1,0,0,100,0,,,,,,0,,,1532,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93300,95212,95520,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10377,1,10366,1,10344,1,,,,,,,,,,,,,,
10389,上古杀器：灭[4档],4档士气装备，★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],士气装备,62501,62501,62501,4,1,,0,1,0,0,100,0,,,,,,0,,,3735,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93301,95213,95521,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10378,1,10367,1,10345,1,,,,,,,,,,,,,,
10390,上古杀器：灭[5档],5档士气装备，★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],士气装备,62501,62501,62501,5,1,,0,1,0,0,100,0,,,,,,0,,,4692,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93302,95214,95522,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10379,1,10368,1,10346,1,,,,,,,,,,,,,,
10391,上古杀器：灭[6档],6档士气装备，★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],士气装备,62501,62501,62501,6,1,,0,1,0,0,100,0,,,,,,0,,,6256,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93303,95215,95523,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10380,1,10369,1,10347,1,,,,,,,,,,,,,,
10392,上古杀器：灭[7档],7档士气装备，★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],士气装备,62501,62501,62501,7,1,,0,1,0,0,100,0,,,,,,0,,,10151,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93304,95216,95524,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10381,1,10370,1,10348,1,,,,,,,,,,,,,,
10393,上古杀器：灭[8档],8档士气装备，★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],士气装备,62501,62501,62501,8,1,,0,1,0,0,100,0,,,,,,0,,,13406,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93305,95217,95525,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10382,1,10371,1,10349,1,,,,,,,,,,,,,,
10394,上古杀器：灭[9档],9档士气装备，★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],士气装备,62501,62501,62501,9,1,,0,1,0,0,100,0,,,,,,0,,,16088,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93306,95218,95526,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10383,1,10372,1,10350,1,,,,,,,,,,,,,,
10395,上古杀器：灭[荣誉],荣誉士气装备，★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],士气装备,62501,62501,62501,10,1,,0,1,0,0,100,0,,,,,,0,,,6256,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93307,95219,95527,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10384,1,10373,1,10351,1,,,,,,,,,,,,,,
10396,上古杀器：灭[元力],元力士气装备，★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],★ 只记载于历史密文的上古兵器，大黑暗时代后数千年一直无人知晓其秘，此为仿制品，仍然威力巨大#★ 大幅提高所有类型的攻击力#★ [a]该装备同时只能拥有一件[/]#★ [r]拥有者如果被杀将会掉落[/],士气装备,62501,62501,62501,11,1,,0,1,0,0,100,0,,,,,,0,,,6256,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93308,95220,95528,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10385,1,10374,1,10352,1,,,,,,,,,,,,,,
10397,游击士头盔[1档],1档士气装备，★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,士气装备,63011,63011,63011,1,1,,0,0,0,0,0,1,,,,,,302,,,416,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93309,95221,91056,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10188,1,10144,1,,,,,,,,,,,,,,,,
10398,游击士头盔[2档],2档士气装备，★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,士气装备,63011,63011,63011,2,1,,0,0,0,0,0,1,,,,,,605,,,832,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93310,95222,91057,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10189,1,10145,1,,,,,,,,,,,,,,,,
10399,游击士头盔[3档],3档士气装备，★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,士气装备,63011,63011,63011,3,1,,0,0,0,0,0,1,,,,,,806,,,1109,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93311,95223,91058,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10190,1,10146,1,,,,,,,,,,,,,,,,
10400,游击士头盔[4档],4档士气装备，★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,士气装备,63011,63011,63011,4,1,,0,0,0,0,0,1,,,,,,1966,,,2704,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93312,95224,91059,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10191,1,10147,1,,,,,,,,,,,,,,,,
10401,游击士头盔[5档],5档士气装备，★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,士气装备,63011,63011,63011,5,1,,0,0,0,0,0,1,,,,,,2470,,,3396,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93313,95225,91060,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10192,1,10148,1,,,,,,,,,,,,,,,,
10402,游击士头盔[6档],6档士气装备，★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,士气装备,63011,63011,63011,6,1,,0,0,0,0,0,1,,,,,,3293,,,4527,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93314,95226,91061,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10193,1,10149,1,,,,,,,,,,,,,,,,
10403,游击士头盔[7档],7档士气装备，★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,士气装备,63011,63011,63011,7,1,,0,0,0,0,0,1,,,,,,5342,,,7346,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93315,95227,91062,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10194,1,10150,1,,,,,,,,,,,,,,,,
10404,游击士头盔[8档],8档士气装备，★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,士气装备,63011,63011,63011,8,1,,0,0,0,0,0,1,,,,,,7056,,,9702,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93316,95228,91063,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10195,1,10151,1,,,,,,,,,,,,,,,,
10405,游击士头盔[9档],9档士气装备，★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,士气装备,63011,63011,63011,9,1,,0,0,0,0,0,1,,,,,,8467,,,11643,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93317,95229,91064,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10196,1,10152,1,,,,,,,,,,,,,,,,
10406,游击士头盔[荣誉],荣誉士气装备，★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,士气装备,63011,63011,63011,10,1,,0,0,0,0,0,1,,,,,,3293,,,4527,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93318,95226,91061,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10197,1,10153,1,,,,,,,,,,,,,,,,
10407,游击士头盔[元力],元力士气装备，★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,★ 提高物理攻击力和生命上限#★ 每2秒恢复生命,士气装备,63011,63011,63011,11,1,,0,0,0,0,0,1,,,,,,3293,,,4527,1,,-1,,,-1,1,,,,,,,,,,,,,,,,93319,95226,91061,,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10198,1,10154,1,,,,,,,,,,,,,,,,
10408,闪光龙鳞[1档],1档士气装备，★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a]装备多个时，格挡概率和格挡伤害点数都可以累加[/]#★[a]该装备同时只能拥有两件[/],★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a]装备多个时，格挡概率和格挡伤害点数都可以累加[/]#★[a]该装备同时只能拥有两件[/],士气装备,57010,57010,57010,1,1,,0,2,0,0,0,1,,,,,,227,,,0,1,,-1,,,-1,1,,,,,,,,,,,,,,,,91045,95232,95529,96001,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10144,1,10155,1,10023,1,,,,,,,,,,,,,,
10409,闪光龙鳞[2档],2档士气装备，★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/#★ [a]装备多个时，格挡概率和格挡伤害点数都可以累加[/]#★[a]该装备同时只能拥有两件[/],★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/#★ [a]装备多个时，格挡概率和格挡伤害点数都可以累加[/]#★[a]该装备同时只能拥有两件[/],士气装备,57010,57010,57010,2,1,,0,2,0,0,0,1,,,,,,454,,,0,1,,-1,,,-1,1,,,,,,,,,,,,,,,,91046,95233,95530,96002,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10145,1,10156,1,10024,1,,,,,,,,,,,,,,
10410,闪光龙鳞[3档],3档士气装备，★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a]装备多个时，格挡概率和格挡伤害点数都可以累加[/]#★[a]该装备同时只能拥有两件[/],★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a]装备多个时，格挡概率和格挡伤害点数都可以累加[/]#★[a]该装备同时只能拥有两件[/],士气装备,57010,57010,57010,3,1,,0,2,0,0,0,1,,,,,,605,,,0,1,,-1,,,-1,1,,,,,,,,,,,,,,,,91047,95234,95531,96003,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10146,1,10157,1,10025,1,,,,,,,,,,,,,,
10411,闪光龙鳞[4档],4档士气装备，★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a]装备多个时，格挡概率和格挡伤害点数都可以累加[/]#★[a]该装备同时只能拥有两件[/],★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a]装备多个时，格挡概率和格挡伤害点数都可以累加[/]#★[a]该装备同时只能拥有两件[/],士气装备,57010,57010,57010,4,1,,0,2,0,0,0,1,,,,,,1474,,,0,1,,-1,,,-1,1,,,,,,,,,,,,,,,,91048,95235,95532,96004,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10147,1,10158,1,10026,1,,,,,,,,,,,,,,
10412,闪光龙鳞[5档],5档士气装备，★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a]只能装备一个，效果可以和念力盾累加,★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a]只能装备一个，效果可以和念力盾累加,士气装备,57010,57010,57010,5,1,,0,1,0,0,0,1,,,,,,1852,,,0,1,,-1,,,-1,1,,,,,,,,,,,,,,,,91049,95236,95533,96005,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10148,1,10159,1,10027,1,,,,,,,,,,,,,,
10413,闪光龙鳞[6档],6档士气装备，★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a只能装备一个，效果可以和念力盾累加,★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a只能装备一个，效果可以和念力盾累加,士气装备,57010,57010,57010,6,1,,0,1,0,0,0,1,,,,,,2470,,,0,1,,-1,,,-1,1,,,,,,,,,,,,,,,,91050,95237,95534,96006,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10149,1,10160,1,10028,1,,,,,,,,,,,,,,
10414,闪光龙鳞[7档],7档士气装备，★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a]只能装备一个，效果可以和念力盾累加,★ 提高生命上限，每2秒恢复生命#★ 受到攻击时有概率出现格挡，出现格挡时免除部分伤害[/]#★ [a]只能装备一个，效果可以和念力盾累加,士气装备,57010,57010,57010,7,1,,0,1,0,0,0,1,,,,,,4007,,,0,1,,-1,,,-1,1,,,,,,,,,,,,,,,,91051,95238,95535,96007,,,,,,,,12800,17,,,,,-1,-1,-1,-1,,,,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,10150,1,10161,1,10029,1,,,,,,,,,,,,,,
